Date  ,Open,High,Low ,Close
31-Aug-20,2174.00,2174.00,2060.35,2080.70
01-Sep-20,2100.00,2122.40,2062.40,2087.25
02-Sep-20,2092.00,2138.00,2085.00,2128.20
03-Sep-20,2128.00,2138.75,2103.00,2112.10
04-Sep-20,2083.55,2096.95,2072.20,2077.25
07-Sep-20,2084.00,2105.75,2044.25,2082.65
08-Sep-20,2092.00,2121.00,2080.50,2107.10
09-Sep-20,2085.00,2167.80,2081.45,2161.35
10-Sep-20,2183.10,2344.95,2175.35,2314.00
11-Sep-20,2312.00,2337.85,2287.10,2319.75
14-Sep-20,2325.00,2360.00,2282.00,2302.55
15-Sep-20,2311.95,2325.75,2288.15,2318.85
16-Sep-20,2320.00,2369.35,2310.55,2324.55
17-Sep-20,2320.00,2333.70,2291.85,2298.75
18-Sep-20,2314.25,2319.45,2276.55,2305.70
21-Sep-20,2300.00,2336.00,2247.35,2255.85
22-Sep-20,2277.00,2277.00,2201.55,2211.15
23-Sep-20,2260.00,2276.75,2205.30,2230.80
24-Sep-20,2207.90,2226.00,2176.05,2181.20
25-Sep-20,2189.00,2212.80,2167.30,2201.70
28-Sep-20,2227.00,2238.00,2207.05,2216.25
29-Sep-20,2225.00,2264.00,2216.25,2245.05
30-Sep-20,2260.00,2267.00,2225.00,2234.35
01-Oct-20,2263.80,2263.80,2214.00,2225.25
05-Oct-20,2244.00,2249.15,2206.00,2212.20
06-Oct-20,2225.25,2233.90,2201.65,2210.35
07-Oct-20,2235.00,2309.00,2220.00,2257.50
08-Oct-20,2259.00,2268.00,2222.10,2239.25
09-Oct-20,2235.00,2253.00,2217.10,2233.45
12-Oct-20,2235.00,2255.75,2226.25,2237.05
13-Oct-20,2230.60,2285.75,2225.85,2280.70
14-Oct-20,2278.90,2304.00,2268.50,2287.50
15-Oct-20,2290.00,2290.00,2195.00,2206.50
16-Oct-20,2215.00,2232.50,2172.65,2175.80
19-Oct-20,2190.05,2228.70,2155.15,2176.20
20-Oct-20,2179.00,2193.00,2152.25,2155.90
21-Oct-20,2168.00,2192.00,2097.75,2124.60
22-Oct-20,2127.40,2132.50,2091.00,2106.95
23-Oct-20,2106.00,2135.00,2096.40,2113.05
26-Oct-20,2101.95,2101.95,2018.50,2029.10
27-Oct-20,2034.90,2059.85,2005.00,2034.50
28-Oct-20,2041.80,2057.70,2007.40,2011.45
29-Oct-20,1997.00,2042.00,1991.00,2026.90
30-Oct-20,2033.50,2065.10,2021.80,2054.50
02-Nov-20,2027.00,2027.00,1859.15,1877.45
03-Nov-20,1890.00,1909.00,1835.10,1850.40
04-Nov-20,1837.00,1929.00,1837.00,1913.20
05-Nov-20,1954.95,1960.95,1932.00,1955.00
06-Nov-20,1990.00,2040.00,1978.15,2029.15
09-Nov-20,2062.10,2069.00,2036.00,2050.70
10-Nov-20,2077.00,2090.00,2041.20,2084.55
11-Nov-20,2089.00,2095.00,1978.10,1997.20
12-Nov-20,1981.00,2008.45,1965.00,1980.00
13-Nov-20,1982.00,2036.65,1981.75,1996.40
14-Nov-20,2014.90,2015.30,1995.35,2002.30
17-Nov-20,2085.00,2085.00,1985.00,1993.25
18-Nov-20,1993.25,2006.50,1960.10,1987.20
19-Nov-20,1987.20,2010.45,1968.20,1973.15
20-Nov-20,1975.00,1983.80,1895.00,1899.50
23-Nov-20,1951.00,1970.00,1926.25,1950.70
24-Nov-20,1964.00,1974.00,1932.00,1964.05
25-Nov-20,1980.00,1992.95,1942.20,1947.80
26-Nov-20,1953.05,1965.00,1930.05,1952.60
27-Nov-20,1940.50,1956.10,1921.40,1929.80
01-Dec-20,1940.35,1966.25,1930.05,1954.90
02-Dec-20,1958.50,1962.00,1935.00,1958.15
03-Dec-20,1972.00,1981.10,1958.65,1964.05
04-Dec-20,1969.00,1969.00,1940.00,1946.75
07-Dec-20,1940.60,1965.00,1940.60,1958.20
08-Dec-20,1961.15,2014.25,1950.00,1993.75
09-Dec-20,2009.95,2033.80,1999.25,2026.95
10-Dec-20,2021.60,2028.50,2001.00,2007.00
11-Dec-20,2013.00,2038.00,1974.25,2005.80
14-Dec-20,2007.95,2015.00,1986.35,1991.30
15-Dec-20,1989.70,1989.70,1961.10,1974.35
16-Dec-20,1988.00,1994.95,1965.70,1976.55
17-Dec-20,1984.50,2005.00,1977.15,1985.60
18-Dec-20,1980.10,2004.90,1965.00,1991.55
21-Dec-20,2010.00,2022.00,1855.25,1939.70
22-Dec-20,1949.00,1958.90,1888.45,1936.70
23-Dec-20,1930.00,1951.45,1920.65,1943.85
24-Dec-20,1947.00,1998.80,1945.90,1994.15
28-Dec-20,2006.70,2018.00,1995.30,2003.30
29-Dec-20,2009.00,2012.30,1982.55,1990.05
30-Dec-20,1995.25,2007.20,1975.55,1995.50
31-Dec-20,1993.50,2011.90,1978.60,1985.30
01-Jan-21,1988.00,1997.00,1982.00,1987.50
04-Jan-21,1995.10,1998.90,1968.00,1990.85
05-Jan-21,1969.00,1983.60,1956.00,1966.10
06-Jan-21,1965.90,1966.00,1905.15,1914.25
07-Jan-21,1920.50,1945.00,1905.15,1911.15
08-Jan-21,1918.00,1938.40,1912.10,1933.70
11-Jan-21,1938.80,1938.80,1892.50,1897.25
12-Jan-21,1903.00,1960.00,1899.90,1957.05
13-Jan-21,1963.55,1974.95,1918.45,1938.80
14-Jan-21,1945.00,1966.90,1939.05,1960.60
15-Jan-21,1960.60,1973.80,1920.05,1937.45
18-Jan-21,1949.10,1997.00,1923.35,1983.95
19-Jan-21,1994.65,2031.00,1994.65,2016.40
20-Jan-21,2021.40,2058.00,2001.40,2054.70
21-Jan-21,2082.00,2120.00,2075.00,2099.40
22-Jan-21,2111.00,2115.35,2035.15,2049.60
25-Jan-21,2034.95,2034.95,1932.00,1941.00
27-Jan-21,1925.00,1925.00,1888.00,1895.00
28-Jan-21,1880.15,1923.30,1870.00,1876.55
29-Jan-21,1894.30,1913.10,1830.00,1841.95
01-Feb-21,1859.40,1905.00,1848.00,1895.30
02-Feb-21,1914.25,1940.00,1854.95,1925.80
03-Feb-21,1928.30,1952.00,1900.00,1930.65
04-Feb-21,1924.00,1940.00,1905.00,1924.30
05-Feb-21,1930.05,1944.65,1920.00,1923.75
08-Feb-21,1933.05,1969.00,1929.05,1951.45
09-Feb-21,1961.95,1989.60,1952.30,1956.15
10-Feb-21,1953.75,1984.75,1927.30,1974.30
11-Feb-21,1980.00,2064.20,1972.25,2055.70
12-Feb-21,2055.50,2078.00,2015.40,2041.60
